DATE,PERMNO,RET,formdate,DGTW_PORT,dgtw_vwret,DGTW_XRET
19870731,10001,2.128%,19870630,143,1.512%,.6153%
19870831,10001,8.333%,19870630,143,3.801%,4.532%
19870930,10001,-2.231%,19870630,143,1.480%,-3.711%
19871031,10001,2.000%,19870630,143,-29.02%,31.02%
19871130,10001,-2.941%,19870630,143,-4.079%,1.138%
19871231,10001,-3.354%,19870630,143,6.862%,-10.22%
19880131,10001,6.383%,19870630,143,5.147%,1.236%
19880229,10001,8.000%,19870630,143,6.092%,1.908%
19880331,10001,-7.630%,19870630,143,8.038%,-15.67%
19880430,10001,3.061%,19870630,143,2.084%,.9767%
19880531,10001,1.980%,19870630,143,-3.866%,5.846%
19880630,10001,-1.204%,19870630,143,5.367%,-6.571%
19880731,10001,3.000%,19880630,145,-.9428%,3.943%
19880831,10001,2.913%,19880630,145,-.3230%,3.236%
19880930,10001,-2.113%,19880630,145,5.891%,-8.004%
19881031,10001,3.922%,19880630,145,-1.607%,5.529%
19881130,10001,.0000%,19880630,145,-4.371%,4.371%
19881231,10001,-2.113%,19880630,145,1.718%,-3.832%
19890131,10001,1.961%,19880630,145,4.828%,-2.867%
19890228,10001,3.846%,19880630,145,.8757%,2.970%
19890331,10001,1.778%,19880630,145,2.814%,-1.036%
19890430,10001,7.407%,19880630,145,.8270%,6.580%
19890531,10001,-3.448%,19880630,145,2.808%,-6.256%
19890630,10001,1.714%,19880630,145,-1.532%,3.246%
19890731,10001,3.571%,19890630,134,4.427%,-.8554%
19890831,10001,27.59%,19890630,134,2.513%,25.07%
19890930,10001,-2.703%,19890630,134,-1.403%,-1.300%
19891031,10001,7.042%,19890630,134,-4.031%,11.07%
19891130,10001,3.947%,19890630,134,-.2149%,4.162%
19891231,10001,3.797%,19890630,134,-1.562%,5.360%
19900131,10001,-1.852%,19890630,134,-5.119%,3.267%
19900228,10001,-.6289%,19890630,134,2.436%,-3.065%
19900331,10001,1.266%,19890630,134,2.954%,-1.688%
19900430,10001,.0000%,19890630,134,-3.769%,3.769%
19900531,10001,-1.266%,19890630,134,6.048%,-7.314%
19900630,10001,1.410%,19890630,134,1.148%,.2625%
19900731,10001,2.564%,19900630,145,-1.683%,4.247%
19900831,10001,-5.000%,19900630,145,-11.74%,6.736%
19900930,10001,4.079%,19900630,145,-9.316%,13.39%
19901031,10001,-1.282%,19900630,145,-3.808%,2.526%
19901130,10001,.0000%,19900630,145,3.267%,-3.267%
19901231,10001,.1299%,19900630,145,4.955%,-4.826%
19910131,10001,1.316%,19900630,145,9.603%,-8.287%
19910228,10001,1.299%,19900630,145,14.10%,-12.81%
19910331,10001,-1.154%,19900630,145,8.187%,-9.341%
19910430,10001,3.947%,19900630,145,.4738%,3.474%
19910531,10001,.0000%,19900630,145,3.967%,-3.967%
19910630,10001,7.848%,19900630,145,-6.977%,14.83%
19910731,10001,-3.571%,19910630,124,2.454%,-6.026%
19910831,10001,13.58%,19910630,124,4.301%,9.279%
19910930,10001,1.304%,19910630,124,4.564%,-3.259%
19911031,10001,13.04%,19910630,124,6.421%,6.623%
19911130,10001,13.46%,19910630,124,2.242%,11.22%
19911231,10001,-.6780%,19910630,124,5.579%,-6.257%
19920131,10001,-5.172%,19910630,124,13.14%,-18.31%
19920229,10001,-20.00%,19910630,124,1.510%,-21.51%
19920331,10001,8.182%,19910630,124,-3.528%,11.71%
19920430,10001,1.064%,19910630,124,-3.193%,4.257%
19920531,10001,1.053%,19910630,124,2.176%,-1.123%
19920630,10001,-.7708%,19910630,124,-7.450%,6.679%
19920731,10001,6.383%,19920630,134,3.161%,3.222%
19920831,10001,4.000%,19920630,134,-.2475%,4.248%
19920930,10001,16.60%,19920630,134,1.767%,14.83%
19921031,10001,-2.500%,19920630,134,1.360%,-3.860%
19921130,10001,-1.709%,19920630,134,7.901%,-9.610%
19921231,10001,-1.513%,19920630,134,4.749%,-6.262%
19930131,10001,.0000%,19920630,134,3.513%,-3.513%
19930228,10001,1.786%,19920630,134,-3.022%,4.808%
19930331,10001,1.105%,19920630,134,.5076%,.5976%
19930430,10001,7.018%,19920630,134,-2.862%,9.880%
19930531,10001,-.8197%,19920630,134,4.147%,-4.966%
19930630,10001,10.25%,19920630,134,-.5440%,10.79%
19930731,10001,-.7576%,19930630,134,-.6974%,-.0602%
19930831,10001,-3.053%,19930630,134,3.450%,-6.503%
19930930,10001,6.614%,19930630,134,2.356%,4.258%
19931031,10001,2.985%,19930630,134,2.931%,.0536%
19931130,10001,-1.449%,19930630,134,-2.059%,.6098%
19931231,10001,9.118%,19930630,134,1.945%,7.172%
19940131,10001,-4.762%,19930630,134,6.292%,-11.05%
19940228,10001,.0000%,19930630,134,-.2113%,.2113%
19940331,10001,-.4286%,19930630,134,-5.030%,4.601%
19940430,10001,-14.49%,19930630,134,.3771%,-14.87%
19940531,10001,6.780%,19930630,134,.4126%,6.367%
19940630,10001,10.73%,19930630,134,-3.163%,13.89%
19940731,10001,7.246%,19940630,123,1.347%,5.899%
19940831,10001,-2.703%,19940630,123,4.555%,-7.258%
19940930,10001,3.833%,19940630,123,1.277%,2.556%
19941031,10001,-5.405%,19940630,123,-.2585%,-5.147%
19941130,10001,-4.286%,19940630,123,-2.045%,-2.241%
19941231,10001,-3.343%,19940630,123,-1.648%,-1.695%
19950131,10001,-3.125%,19940630,123,.3065%,-3.431%
19950228,10001,-2.621%,19940630,123,3.714%,-6.335%
19950331,10001,.6377%,19940630,123,.9718%,-.3341%
19950430,10001,.0000%,19940630,123,-.0787%,.0787%
19950531,10001,5.000%,19940630,123,1.699%,3.301%
19950630,10001,6.032%,19940630,123,1.978%,4.054%
19950731,10001,.0000%,19950630,123,4.385%,-4.385%
19950831,10001,-3.030%,19950630,123,3.722%,-6.753%
19950930,10001,4.375%,19950630,123,2.465%,1.910%
19951031,10001,-3.030%,19950630,123,-2.683%,-.3468%
19951130,10001,9.375%,19950630,123,3.588%,5.787%
19951231,10001,8.286%,19950630,123,2.969%,5.317%
19960131,10001,-2.667%,19950630,123,-1.050%,-1.617%
19960229,10001,1.370%,19950630,123,4.097%,-2.728%
19960331,10001,3.615%,19950630,123,3.184%,.4311%
19960430,10001,-7.084%,19950630,123,5.012%,-12.10%
19960531,10001,-2.128%,19950630,123,4.400%,-6.527%
19960630,10001,-6.029%,19950630,123,-2.258%,-3.771%
19960731,10001,2.344%,19960630,123,-5.260%,7.604%
19960831,10001,3.817%,19960630,123,3.179%,.6377%
19960930,10001,4.176%,19960630,123,2.636%,1.541%
19961031,10001,-2.857%,19960630,123,1.201%,-4.059%
19961130,10001,2.941%,19960630,123,3.474%,-.5331%
19961231,10001,-5.943%,19960630,123,1.345%,-7.288%
19970131,10001,6.154%,19960630,123,5.762%,.3916%
19970228,10001,.0000%,19960630,123,.3591%,-.3591%
19970331,10001,1.217%,19960630,123,-2.107%,3.325%
19970430,10001,.0000%,19960630,123,-1.374%,1.374%
19970531,10001,.0000%,19960630,123,9.081%,-9.081%
19970630,10001,-3.072%,19960630,123,5.738%,-8.810%
19970731,10001,4.545%,19970630,134,6.003%,-1.458%
19970831,10001,1.449%,19970630,134,6.641%,-5.192%
19970930,10001,2.686%,19970630,134,8.377%,-5.691%
19971031,10001,.0000%,19970630,134,1.213%,-1.213%
19971130,10001,-1.408%,19970630,134,-1.733%,.3249%
19971231,10001,4.114%,19970630,134,1.917%,2.197%
19980131,10001,.0000%,19970630,134,-.7793%,.7793%
19980228,10001,-.6944%,19970630,134,6.963%,-7.657%
19980331,10001,-.8671%,19970630,134,5.706%,-6.573%
19980430,10001,.7143%,19970630,134,2.256%,-1.542%
19980531,10001,-1.418%,19970630,134,-5.129%,3.711%
19980630,10001,.6043%,19970630,134,-3.479%,4.083%
19980731,10001,1.449%,19980630,133,-9.790%,11.24%
19980831,10001,.0000%,19980630,133,-22.78%,22.78%
19980930,10001,7.029%,19980630,133,8.090%,-1.061%
19981031,10001,.0000%,19980630,133,6.500%,-6.500%
19981130,10001,2.027%,19980630,133,5.602%,-3.575%
19981231,10001,3.205%,19980630,133,4.708%,-1.502%
19990131,10001,.0000%,19980630,133,7.643%,-7.643%
19990228,10001,-9.091%,19980630,133,-6.890%,-2.201%
19990331,10001,1.314%,19980630,133,-6.513%,7.827%
19990430,10001,1.429%,19980630,133,5.585%,-4.157%
19990531,10001,-2.113%,19980630,133,4.776%,-6.889%
19990630,10001,.6619%,19980630,133,3.622%,-2.960%
19990731,10001,2.174%,19990630,125,.6196%,1.554%
19990831,10001,-.7092%,19990630,125,-2.968%,2.259%
19990930,10001,-7.200%,19990630,125,3.013%,-10.21%
19991031,10001,8.594%,19990630,125,-3.244%,11.84%
19991130,10001,-.3597%,19990630,125,11.32%,-11.68%
19991231,10001,-.4188%,19990630,125,9.958%,-10.38%
20000131,10001,-4.412%,19990630,125,6.898%,-11.31%
20000229,10001,1.538%,19990630,125,17.58%,-16.04%
20000331,10001,-1.576%,19990630,125,.3923%,-1.968%
20000430,10001,1.172%,19990630,125,-13.23%,14.40%
20000531,10001,-2.317%,19990630,125,-10.15%,7.834%
20000630,10001,2.767%,19990630,125,13.00%,-10.24%
20000731,10001,-1.563%,20000630,124,-2.493%,.9309%
20000831,10001,4.762%,20000630,124,5.683%,-.9210%
20000930,10001,7.576%,20000630,124,1.643%,5.933%
20001031,10001,2.857%,20000630,124,-7.999%,10.86%
20001130,10001,6.250%,20000630,124,-8.347%,14.60%
20001231,10001,3.268%,20000630,124,-4.356%,7.624%
20010131,10001,1.282%,20000630,124,22.34%,-21.06%
20010228,10001,-1.266%,20000630,124,-6.862%,5.596%
20010331,10001,3.846%,20000630,124,-5.685%,9.531%
20010430,10001,-2.500%,20000630,124,5.008%,-7.508%
20010531,10001,9.744%,20000630,124,7.511%,2.233%
20010630,10001,11.50%,20000630,124,.5901%,10.91%
20010731,10001,2.542%,20010630,125,.2339%,2.309%
20010831,10001,2.066%,20010630,125,-.7298%,2.796%
20010930,10001,-2.186%,20010630,125,-10.81%,8.628%
20011031,10001,-3.347%,20010630,125,6.819%,-10.17%
20011130,10001,-.4329%,20010630,125,3.009%,-3.442%
20011231,10001,.6957%,20010630,125,5.682%,-4.986%
20020131,10001,-1.310%,20010630,125,2.313%,-3.623%
20020228,10001,-5.310%,20010630,125,-1.262%,-4.048%
20020331,10001,-1.589%,20010630,125,7.589%,-9.178%
20020430,10001,-4.327%,20010630,125,2.889%,-7.216%
20020531,10001,1.482%,20010630,125,-1.756%,3.238%
20020630,10001,-2.402%,20010630,125,-2.021%,-.3801%
20020731,10001,-9.979%,20020630,123,-16.86%,6.882%
20020831,10001,1.714%,20020630,123,-1.518%,3.233%
20020930,10001,-.1685%,20020630,123,-9.314%,9.146%
20021031,10001,-1.943%,20020630,123,5.423%,-7.366%
20021130,10001,-2.389%,20020630,123,18.70%,-21.09%
20021231,10001,-10.61%,20020630,123,-5.384%,-5.231%
20030131,10001,14.81%,20020630,123,.9088%,13.91%
20030228,10001,3.555%,20020630,123,-4.507%,8.062%
20030331,10001,-10.93%,20020630,123,1.207%,-12.13%
20030430,10001,-32.42%,20020630,123,8.603%,-41.02%
20030531,10001,63.25%,20020630,123,15.30%,47.95%
20030630,10001,-28.79%,20020630,123,4.319%,-33.11%
20030731,10001,1.830%,20030630,123,7.154%,-5.324%
20030831,10001,8.660%,20030630,123,3.844%,4.816%
20030930,10001,3.759%,20030630,123,1.215%,2.545%
20031031,10001,-13.04%,20030630,123,8.914%,-21.96%
20031130,10001,-.5000%,20030630,123,6.082%,-6.582%
20031231,10001,-.3350%,20030630,123,3.277%,-3.612%
20040131,10001,1.008%,20030630,123,6.230%,-5.222%
20040229,10001,7.987%,20030630,123,1.221%,6.766%
20040331,10001,11.71%,20030630,123,-.6498%,12.36%
20040430,10001,-1.241%,20030630,123,-3.902%,2.661%
20040531,10001,-7.961%,20030630,123,.0786%,-8.039%
20040630,10001,1.062%,20030630,123,3.822%,-2.760%
20040731,10001,5.105%,20040630,151,-6.788%,11.89%
20040831,10001,.4286%,20040630,151,-3.410%,3.839%
20040930,10001,-13.23%,20040630,151,3.500%,-16.73%
20041031,10001,-5.574%,20040630,151,4.933%,-10.51%
20041130,10001,3.125%,20040630,151,10.75%,-7.626%
20041231,10001,16.16%,20040630,151,8.641%,7.520%
20050131,10001,-4.058%,20040630,151,-5.975%,1.917%
20050228,10001,-4.517%,20040630,151,-.0793%,-4.437%
20050331,10001,12.48%,20040630,151,-3.320%,15.80%
20050430,10001,-7.468%,20040630,151,-5.694%,-1.775%
20050531,10001,21.90%,20040630,151,7.321%,14.58%
20050630,10001,12.84%,20040630,151,7.254%,5.589%
20050731,10001,.9945%,20050630,145,9.418%,-8.424%
20050831,10001,3.939%,20050630,145,1.504%,2.434%
20050930,10001,21.16%,20050630,145,.5610%,20.60%
20051031,10001,-11.90%,20050630,145,-4.209%,-7.695%
20051130,10001,-5.940%,20050630,145,8.012%,-13.95%
20051231,10001,2.105%,20050630,145,2.530%,-.4246%
20060131,10001,-1.649%,20050630,145,10.05%,-11.70%
20060228,10001,-1.054%,20050630,145,-.8606%,-.1931%
20060331,10001,17.04%,20050630,145,5.228%,11.81%
20060430,10001,-9.463%,20050630,145,-.1890%,-9.274%
20060531,10001,-1.045%,20050630,145,-8.675%,7.630%
20060630,10001,-7.639%,20050630,145,-1.813%,-5.826%
20060731,10001,15.74%,20060630,144,-1.457%,17.20%
20060831,10001,12.36%,20060630,144,2.291%,10.07%
20060930,10001,-5.417%,20060630,144,1.097%,-6.514%
20061031,10001,.7273%,20060630,144,3.331%,-2.604%
20061130,10001,5.144%,20060630,144,1.581%,3.564%
20061231,10001,-3.729%,20060630,144,1.632%,-5.362%
20070131,10001,2.328%,20060630,144,3.380%,-1.052%
20070228,10001,26.16%,20060630,144,-.0157%,26.18%
20070331,10001,1.973%,20060630,144,-.3065%,2.280%
20070430,10001,.2764%,20060630,144,1.839%,-1.562%
20070531,10001,4.342%,20060630,144,.5266%,3.815%
20070630,10001,.0667%,20060630,144,-.8471%,.9138%
20070731,10001,-5.667%,20070630,145,-4.750%,-.9167%
20070831,10001,2.756%,20070630,145,2.752%,.0040%
20070930,10001,-3.232%,20070630,145,2.787%,-6.019%
20071031,10001,-4.026%,20070630,145,2.391%,-6.417%
20071130,10001,7.940%,20070630,145,-9.440%,17.38%
20071231,10001,-.3930%,20070630,145,2.878%,-3.271%
20080131,10001,-.6082%,20070630,145,-10.51%,9.901%
20080229,10001,2.170%,20070630,145,-1.427%,3.597%
20080331,10001,-5.252%,20070630,145,-4.280%,-.9717%
20080430,10001,-3.670%,20070630,145,2.982%,-6.652%
20080531,10001,27.16%,20070630,145,7.547%,19.62%
20080630,10001,-1.009%,20070630,145,-9.776%,8.766%
20080731,10001,-5.302%,20080630,125,6.075%,-11.38%
20080831,10001,-1.972%,20080630,125,2.724%,-4.697%
20080930,10001,-13.74%,20080630,125,-7.619%,-6.118%
20081031,10001,-1.882%,20080630,125,-18.01%,16.13%
20081130,10001,-13.01%,20080630,125,-11.64%,-1.367%
20081231,10001,15.60%,20080630,125,4.455%,11.14%
20090131,10001,3.414%,20080630,125,-7.967%,11.38%
20090228,10001,5.622%,20080630,125,-12.06%,17.68%
20090331,10001,-8.054%,20080630,125,9.100%,-17.15%
20090430,10001,4.462%,20080630,125,15.75%,-11.29%
20090531,10001,.2941%,20080630,125,8.423%,-8.129%
20090630,10001,1.945%,20080630,125,2.178%,-.2334%
20090731,10001,-4.708%,20090630,124,6.079%,-10.79%
20090831,10001,5.337%,20090630,124,-.6868%,6.024%
20090930,10001,1.228%,20090630,124,2.791%,-1.562%
20091031,10001,3.780%,20090630,124,-6.962%,10.74%
20091130,10001,.7095%,20090630,124,.3625%,.3469%
20091231,10001,16.26%,20090630,124,6.944%,9.318%
20100131,10001,-1.893%,20090630,124,-3.417%,1.524%
20100228,10001,-.0656%,20090630,124,1.526%,-1.591%
20100331,10001,2.064%,20090630,124,5.254%,-3.190%
20100430,10001,12.44%,20090630,124,3.580%,8.858%
20100531,10001,.4829%,20090630,124,-5.136%,5.619%
20100630,10001,-4.342%,20090630,124,-3.635%,-.7070%
20100731,10001,8.333%,20100630,124,5.659%,2.674%
20100831,10001,-11.13%,20100630,124,-6.084%,-5.043%
20100930,10001,7.656%,20100630,124,11.03%,-3.373%
20101031,10001,3.281%,20100630,124,3.082%,.1991%
20101130,10001,-11.84%,20100630,124,1.905%,-13.75%
20101231,10001,5.229%,20100630,124,11.37%,-6.142%
20110131,10001,2.899%,20100630,124,-1.177%,4.076%
20110228,10001,2.273%,20100630,124,3.302%,-1.030%
20110331,10001,7.240%,20100630,124,6.692%,.5488%
20110430,10001,-3.879%,20100630,124,.3030%,-4.182%
20110531,10001,2.805%,20100630,124,-.4186%,3.224%
20110630,10001,.8261%,20100630,124,-3.325%,4.151%
20110731,10001,-2.814%,20110630,133,-1.951%,-.8629%
20110831,10001,-1.386%,20110630,133,-10.60%,9.215%
20110930,10001,.5009%,20110630,133,-11.17%,11.67%
20111031,10001,.5005%,20110630,133,13.36%,-12.86%
20111130,10001,-.5000%,20110630,133,1.143%,-1.643%
20111231,10001,5.183%,20110630,133,2.371%,2.812%
20120131,10001,-1.970%,20110630,133,8.840%,-10.81%
20120229,10001,.5005%,20110630,133,.1490%,.3514%
20120331,10001,4.876%,20110630,133,4.285%,.5907%
20120430,10001,-1.500%,20110630,133,1.509%,-3.009%
20120531,10001,-8.436%,20110630,133,-6.635%,-1.801%
20120630,10001,-2.733%,20110630,133,6.753%,-9.486%
20120731,10001,.9406%,20120630,123,-2.189%,3.129%
20120831,10001,-1.232%,20120630,123,.9310%,-2.162%
20120930,10001,.0501%,20120630,123,5.690%,-5.640%
20121031,10001,1.268%,20120630,123,-2.400%,3.667%
20121130,10001,-4.550%,20120630,123,-5.219%,.6687%
20121231,10001,-1.523%,20120630,123,2.166%,-3.689%
20130131,10001,6.270%,20120630,123,6.512%,-.2421%
20130228,10001,1.165%,20120630,123,1.651%,-.4855%
20130331,10001,3.068%,20120630,123,6.737%,-3.669%
20130430,10001,1.716%,20120630,123,.4887%,1.227%
20130531,10001,-.0484%,20120630,123,8.571%,-8.620%
20130630,10001,.6323%,20120630,123,.0599%,.5724%
20130731,10001,1.602%,20130630,132,6.470%,-4.868%
20130831,10001,-1.679%,20130630,132,-1.613%,-.0664%
20130930,10001,.4412%,20130630,132,7.811%,-7.370%
20131031,10001,-1.814%,20130630,132,2.399%,-4.212%
20131130,10001,-13.49%,20130630,132,5.625%,-19.12%
20131231,10001,-5.886%,20130630,132,1.065%,-6.951%
20140131,10001,14.76%,20130630,132,-3.370%,18.13%
20140228,10001,2.563%,20130630,132,6.054%,-3.491%
20140331,10001,7.959%,20130630,132,1.098%,6.862%
20140430,10001,8.797%,20130630,132,-4.080%,12.88%
20140531,10001,-3.349%,20130630,132,-.7656%,-2.583%
20140630,10001,.9056%,20130630,132,4.663%,-3.757%
20140731,10001,22.72%,20140630,153,-3.793%,26.52%
20140831,10001,-12.14%,20140630,153,3.344%,-15.49%
20140930,10001,5.098%,20140630,153,-5.645%,10.74%
20141031,10001,-3.514%,20140630,153,3.864%,-7.378%
20141130,10001,1.718%,20140630,153,-.1722%,1.890%
20141231,10001,-3.783%,20140630,153,4.049%,-7.831%
20150131,10001,-11.52%,20140630,153,-4.365%,-7.160%
20150228,10001,3.590%,20140630,153,8.829%,-5.239%
20150331,10001,-.0495%,20140630,153,1.556%,-1.606%
20150430,10001,1.104%,20140630,153,-2.142%,3.246%
20150531,10001,-.6951%,20140630,153,.5423%,-1.237%
20150630,10001,3.000%,20140630,153,1.382%,1.618%
20150731,10001,-1.311%,20150630,133,-3.075%,1.764%
20150831,10001,-11.17%,20150630,133,-4.288%,-6.879%
20150930,10001,.3367%,20150630,133,-9.548%,9.885%
20151031,10001,.1678%,20150630,133,2.332%,-2.164%
20151130,10001,-.9070%,20150630,133,2.751%,-3.658%
20151231,10001,-13.22%,20150630,133,-6.185%,-7.030%
20160131,10001,11.68%,20150630,133,-9.574%,21.25%
20160229,10001,-5.529%,20150630,133,.0012%,-5.530%
20160331,10001,-.6361%,20150630,133,7.666%,-8.302%
20160430,10001,-5.570%,20150630,133,5.395%,-10.96%
20160531,10001,-2.192%,20150630,133,2.845%,-5.037%
20160630,10001,-2.101%,20150630,133,-2.112%,.0112%
20160731,10001,2.647%,20160630,154,6.612%,-3.965%
20160831,10001,3.662%,20160630,154,5.490%,-1.828%
20160930,10001,4.212%,20160630,154,.9775%,3.234%
20161031,10001,61.99%,20160630,154,-2.314%,64.31%
20161130,10001,1.215%,20160630,154,12.96%,-11.74%
20161231,10001,1.000%,20160630,154,1.878%,-.8780%
20170131,10001,.7968%,20160630,154,2.594%,-1.797%
20170228,10001,.0000%,20160630,154,-1.416%,1.416%
20170331,10001,.9881%,20160630,154,.3660%,.6221%
20170430,10001,-1.575%,20160630,154,-.4200%,-1.155%
20170531,10001,1.600%,20160630,154,-2.776%,4.376%
20170630,10001,2.362%,20160630,154,3.001%,-.6385%
20170731,10001,.1934%,20170630,135,1.396%,-1.202%
20170831,10001,,20170630,135,1.152%,
19940731,10002,-5.357%,19940630,123,1.347%,-6.704%
19940831,10002,.9434%,19940630,123,4.555%,-3.611%
19940930,10002,-2.280%,19940630,123,1.277%,-3.558%
19941031,10002,.0000%,19940630,123,-.2585%,.2585%
19941130,10002,-3.846%,19940630,123,-2.045%,-1.801%
19941231,10002,5.560%,19940630,123,-1.648%,7.208%
19950131,10002,.0000%,19940630,123,.3065%,-.3065%
19950228,10002,.0000%,19940630,123,3.714%,-3.714%
19950331,10002,-2.248%,19940630,123,.9718%,-3.219%
19950430,10002,1.961%,19940630,123,-.0787%,2.039%
19950531,10002,3.846%,19940630,123,1.699%,2.147%
19950630,10002,-3.111%,19940630,123,1.978%,-5.089%
19950731,10002,.0000%,19950630,123,4.385%,-4.385%
19950831,10002,.0000%,19950630,123,3.722%,-3.722%
19950930,10002,12.15%,19950630,123,2.465%,9.689%
19951031,10002,-13.79%,19950630,123,-2.683%,-11.11%
19951130,10002,7.000%,19950630,123,3.588%,3.412%
19951231,10002,5.271%,19950630,123,2.969%,2.302%
19960131,10002,-3.571%,19950630,123,-1.050%,-2.522%
19960229,10002,2.778%,19950630,123,4.097%,-1.320%
19960331,10002,5.225%,19950630,123,3.184%,2.041%
19960430,10002,-4.310%,19950630,123,5.012%,-9.322%
19960531,10002,.0000%,19950630,123,4.400%,-4.400%
19960630,10002,.7207%,19950630,123,-2.258%,2.979%
19960731,10002,-3.153%,19960630,122,-8.426%,5.273%
19960831,10002,.4651%,19960630,122,2.391%,-1.926%
19960930,10002,1.667%,19960630,122,1.960%,-.2935%
19961031,10002,-1.835%,19960630,122,-4.168%,2.333%
19961130,10002,.0000%,19960630,122,3.295%,-3.295%
19961231,10002,-2.056%,19960630,122,1.323%,-3.379%
19970131,10002,.0000%,19960630,122,7.570%,-7.570%
19970228,10002,1.923%,19960630,122,-1.247%,3.171%
19970331,10002,13.96%,19960630,122,-4.210%,18.17%
19970430,10002,-7.500%,19960630,122,-2.579%,-4.921%
19970531,10002,15.60%,19960630,122,11.28%,4.320%
19970630,10002,3.810%,19960630,122,1.427%,2.383%
19970731,10002,9.231%,19970630,154,5.432%,3.799%
19970831,10002,7.042%,19970630,154,5.548%,1.494%
19970930,10002,9.789%,19970630,154,9.346%,.4438%
19971031,10002,1.807%,19970630,154,-.7268%,2.534%
19971130,10002,3.550%,19970630,154,.9643%,2.586%
19971231,10002,12.50%,19970630,154,-.1527%,12.66%
19980131,10002,2.041%,19970630,154,-1.871%,3.912%
19980228,10002,6.000%,19970630,154,7.098%,-1.098%
19980331,10002,-1.943%,19970630,154,6.727%,-8.671%
19980430,10002,-5.314%,19970630,154,1.072%,-6.386%
19980531,10002,12.24%,19970630,154,-3.565%,15.81%
19980630,10002,9.555%,19970630,154,-2.140%,11.69%
19980731,10002,-1.250%,19980630,115,-4.707%,3.457%
19980831,10002,-16.46%,19980630,115,-22.96%,6.502%
19980930,10002,-1.000%,19980630,115,3.872%,-4.872%
19981031,10002,-7.692%,19980630,115,4.302%,-11.99%
19981130,10002,1.667%,19980630,115,9.073%,-7.407%
19981231,10002,.5574%,19980630,115,.9625%,-.4051%
19990131,10002,1.639%,19980630,115,4.485%,-2.846%
19990228,10002,-9.677%,19980630,115,-1.414%,-8.264%
19990331,10002,-1.179%,19980630,115,.9454%,-2.124%
19990430,10002,-5.455%,19980630,115,10.99%,-16.45%
19990531,10002,1.442%,19980630,115,-.5919%,2.034%
19990630,10002,2.578%,19980630,115,3.406%,-.8281%
19990731,10002,4.186%,19990630,113,-.4177%,4.604%
19990831,10002,-7.143%,19990630,113,-2.871%,-4.272%
19990930,10002,15.36%,19990630,113,-2.759%,18.11%
19991031,10002,-11.11%,19990630,113,-.4446%,-10.67%
19991130,10002,5.660%,19990630,113,3.543%,2.118%
19991231,10002,-12.30%,19990630,113,-.4946%,-11.81%
20000131,10002,-2.564%,19990630,113,-.6195%,-1.945%
20000229,10002,-16.32%,19990630,113,-1.000%,-15.32%
20000331,10002,2.893%,19990630,113,2.454%,.4389%
20000430,10002,1.235%,19990630,113,-3.908%,5.143%
20000531,10002,-2.439%,19990630,113,-4.620%,2.181%
20000630,10002,4.125%,19990630,113,3.767%,.3578%
20000731,10002,-1.212%,20000630,123,1.730%,-2.942%
20000831,10002,-1.840%,20000630,123,8.093%,-9.934%
20000930,10002,-25.25%,20000630,123,-.6676%,-24.58%
20001031,10002,16.95%,20000630,123,-3.857%,20.81%
20001130,10002,1.812%,20000630,123,-6.345%,8.157%
20001231,10002,5.765%,20000630,123,-1.050%,6.815%
20010131,10002,8.844%,20000630,123,17.54%,-8.699%
20010228,10002,6.250%,20000630,123,.2461%,6.004%
20010331,10002,42.21%,20000630,123,.8718%,41.34%
20010430,10002,-24.13%,20000630,123,4.797%,-28.93%
20010531,10002,-3.339%,20000630,123,11.36%,-14.70%
20010630,10002,3.727%,20000630,123,2.713%,1.014%
20010731,10002,-3.628%,20010630,124,.8453%,-4.474%
20010831,10002,-4.959%,20010630,124,-.6456%,-4.313%
20010930,10002,-4.734%,20010630,124,-8.868%,4.134%
20011031,10002,-3.179%,20010630,124,4.648%,-7.828%
20011130,10002,5.932%,20010630,124,4.878%,1.055%
20011231,10002,.0000%,20010630,124,5.055%,-5.055%
20020131,10002,.1011%,20010630,124,3.138%,-3.037%
20020228,10002,8.535%,20010630,124,-.7000%,9.235%
20020331,10002,-7.294%,20010630,124,5.051%,-12.35%
20020430,10002,22.84%,20010630,124,.9077%,21.93%
20020531,10002,.4132%,20010630,124,1.918%,-1.505%
20020630,10002,.9877%,20010630,124,-1.640%,2.628%
20020731,10002,-9.465%,20020630,124,-10.32%,.8597%
20020831,10002,2.273%,20020630,124,1.983%,.2900%
20020930,10002,-3.920%,20020630,124,-4.936%,1.016%
20021031,10002,.9449%,20020630,124,3.868%,-2.923%
20021130,10002,-1.761%,20020630,124,9.278%,-11.04%
20021231,10002,5.849%,20020630,124,-1.703%,7.552%
20030131,10002,6.396%,20020630,124,.5282%,5.868%
20030228,10002,12.19%,20020630,124,-1.601%,13.79%
20030331,10002,9.660%,20020630,124,1.258%,8.402%
20030430,10002,10.42%,20020630,124,8.207%,2.216%
20030531,10002,-2.207%,20020630,124,7.532%,-9.739%
20030630,10002,4.116%,20020630,124,2.068%,2.048%
20030731,10002,-.0623%,20030630,125,9.041%,-9.103%
20030831,10002,.2492%,20030630,125,2.474%,-2.224%
20030930,10002,-5.345%,20030630,125,1.340%,-6.685%
20031031,10002,2.185%,20030630,125,8.164%,-5.979%
20031130,10002,2.268%,20030630,125,3.102%,-.8337%
20031231,10002,2.345%,20030630,125,2.366%,-.0208%
